label,area,mean_intensity,centroid_row,centroid_col,area_m2,area_km2
5,6363.0,0.62306147813797,255.13169888417414,919.1513437057991,636300.0,0.6363
79,3198.0,0.6043012738227844,943.6638524077548,816.046904315197,319800.0,0.3198
32,968.0,0.5493350625038147,329.41735537190084,395.4059917355372,96800.0,0.0968
72,955.0,0.44135770201683044,589.7507853403141,253.0104712041885,95500.0,0.0955
62,414.0,0.43600597977638245,448.0096618357488,973.9613526570048,41400.0,0.0414
28,295.0,0.35210520029067993,292.7728813559322,132.66440677966102,29500.0,0.0295
26,293.0,0.41842275857925415,271.5597269624573,841.6860068259385,29300.0,0.0293
68,224.0,0.36226731538772583,541.9598214285714,155.44642857142858,22400.0,0.0224
73,205.0,0.3935713469982147,561.4878048780488,229.06829268292682,20500.0,0.0205
78,201.0,0.43333107233047485,883.8855721393035,814.5074626865671,20100.0,0.0201
74,192.0,0.37050020694732666,618.7135416666666,221.65104166666666,19200.0,0.0192
14,161.0,0.2836589515209198,243.19254658385094,877.6708074534162,16100.0,0.0161
48,121.0,0.36912262439727783,371.6115702479339,871.7603305785124,12100.0,0.0121
67,103.0,0.33894968032836914,519.3883495145631,116.58252427184466,10300.0,0.0103
10,83.0,0.27311980724334717,215.27710843373495,898.1927710843373,8300.0,0.0083
44,79.0,0.4489457309246063,347.72151898734177,884.620253164557,7900.0,0.0079
76,60.0,0.28036123514175415,719.1,685.8666666666667,6000.0,0.006
77,53.0,0.2943117022514343,726.6792452830189,657.6603773584906,5300.0,0.0053
80,48.0,0.28162381052970886,908.7708333333334,392.875,4800.0,0.0048
56,37.0,0.29903700947761536,413.27027027027026,861.918918918919,3700.0,0.0037
8,32.0,0.35095375776290894,204.5,863.71875,3200.0,0.0032
34,30.0,0.33975496888160706,294.1666666666667,884.4333333333333,3000.0,0.003
12,29.0,0.4742030203342438,231.44827586206895,900.7931034482758,2900.0,0.0029
20,25.0,0.2894507348537445,251.08,851.32,2500.0,0.0025
52,23.0,0.3671420216560364,405.0,845.0,2300.0,0.0023
51,21.0,0.3193085491657257,397.7142857142857,843.3333333333334,2100.0,0.0021
31,21.0,0.5086004137992859,277.3333333333333,878.1428571428571,2100.0,0.0021
21,19.0,0.29894912242889404,256.2631578947368,102.42105263157895,1900.0,0.0019
43,16.0,0.32429003715515137,341.1875,879.0625,1600.0,0.0016
