label	area	mean_intensity	centroid_x	centroid_y
1	2.0	0.2975592017173767	714.5	0.0
2	1.0	0.3106658160686493	721.0	10.0
3	5.0	0.28675875067710876	835.8	111.2
4	2.0	0.2977374792098999	838.5	116.0
5	6363.0	0.62306147813797	919.1513437057991	255.13169888417414
6	2.0	0.30030572414398193	833.0	162.5
7	4.0	0.30095064640045166	884.5	197.5
8	32.0	0.35095375776290894	863.71875	204.5
9	11.0	0.26812899112701416	892.3636363636364	206.8181818181818
10	83.0	0.27311980724334717	898.1927710843373	215.27710843373495
11	8.0	0.27480146288871765	895.75	227.375
12	29.0	0.4742030203342438	900.7931034482758	231.44827586206895
13	7.0	0.2667630612850189	889.8571428571429	231.71428571428572
14	161.0	0.2836589515209198	877.6708074534162	243.19254658385094
15	3.0	0.30267027020454407	95.66666666666667	242.33333333333334
16	2.0	0.30028149485588074	863.0	242.5
17	6.0	0.27452215552330017	867.1666666666666	242.83333333333334
18	4.0	0.28096431493759155	846.5	243.5
19	2.0	0.3450377583503723	834.5	249.0
20	25.0	0.2894507646560669	851.32	251.08
21	19.0	0.29894909262657166	102.42105263157895	256.2631578947368
22	15.0	0.3924958407878876	878.4	260.6666666666667
23	7.0	0.2558665871620178	857.8571428571429	261.57142857142856
24	10.0	0.2667573392391205	866.5	262.8
25	4.0	0.2943902015686035	106.5	263.5
26	277.0	0.42654722929000854	840.2851985559566	271.8014440433213
27	1.0	0.19208550453186035	871.0	265.0
28	16.0	0.2777683138847351	865.9375	267.375
29	295.0	0.35210520029067993	132.66440677966102	292.7728813559322
30	9.0	0.33928361535072327	871.7777777777778	273.8888888888889
31	2.0	0.478363573551178	861.5	275.0
32	21.0	0.5086004137992859	878.1428571428571	277.3333333333333
33	968.0	0.5493350625038147	395.4059917355372	329.41735537190084
34	1.0	0.3317740261554718	882.0	288.0
35	30.0	0.33975496888160706	884.4333333333333	294.1666666666667
36	3.0	0.33941352367401123	363.3333333333333	293.3333333333333
37	15.0	0.2755483388900757	886.5333333333333	303.3333333333333
38	7.0	0.32794538140296936	368.0	303.0
39	5.0	0.3611515462398529	890.2	317.8
40	1.0	0.2640332579612732	896.0	324.0
41	5.0	0.3098967373371124	911.0	332.0
42	9.0	0.3612649440765381	894.4444444444445	336.1111111111111
43	1.0	0.3076412081718445	898.0	338.0
44	1.0	0.30310261249542236	899.0	339.0
45	16.0	0.32429003715515137	879.0625	341.1875
46	79.0	0.4489457309246063	884.620253164557	347.72151898734177
47	5.0	0.3559090495109558	274.2	349.4
48	9.0	0.3504330515861511	279.77777777777777	350.8888888888889
49	3.0	0.3918403685092926	294.3333333333333	357.6666666666667
50	121.0	0.36912259459495544	871.7603305785124	371.6115702479339
51	10.0	0.3534018397331238	883.7	365.7
52	2.0	0.3753175139427185	980.5	374.0
53	21.0	0.3193085491657257	843.3333333333334	397.7142857142857
54	23.0	0.36714205145835876	845.0	405.0
55	2.0	0.2880185842514038	883.0	404.5
56	2.0	0.30862316489219666	891.5	405.0
57	5.0	0.36571282148361206	881.0	409.0
58	37.0	0.29903703927993774	861.918918918919	413.27027027027026
59	9.0	0.32130420207977295	139.77777777777777	413.44444444444446
60	4.0	0.35892558097839355	897.5	413.5
61	12.0	0.4878077507019043	998.1666666666666	420.5833333333333
62	16.0	0.49466150999069214	978.5	429.0
63	2.0	0.5172383785247803	995.5	429.0
64	414.0	0.43600592017173767	973.9613526570048	448.0096618357488
65	2.0	0.3359631299972534	928.0	437.5
66	2.0	0.3650062084197998	944.5	441.0
67	15.0	0.32563087344169617	938.6	446.8
68	1.0	0.3302193880081177	101.0	504.0
69	103.0	0.33894971013069153	116.58252427184466	519.3883495145631
70	179.0	0.35611337423324585	149.3854748603352	538.7094972067039
71	15.0	0.28142058849334717	214.6	542.8666666666667
72	2.0	0.2570453882217407	577.0	544.5
73	10.0	0.2909783720970154	207.3	546.0
74	955.0	0.44135773181915283	253.0104712041885	589.7507853403141
75	205.0	0.3935713469982147	229.06829268292682	561.4878048780488
76	1.0	0.3443896472454071	172.0	551.0
77	44.0	0.38770896196365356	179.72727272727272	554.9772727272727
78	192.0	0.37050020694732666	221.65104166666666	618.7135416666666
79	5.0	0.3235282897949219	241.8	613.8
80	60.0	0.28036126494407654	685.8666666666667	719.1
81	53.0	0.2943117022514343	657.6603773584906	726.6792452830189
82	201.0	0.43333107233047485	814.5074626865671	883.8855721393035
83	3198.0	0.6043012738227844	816.046904315197	943.6638524077548
84	48.0	0.28162381052970886	392.875	908.7708333333334
85	2.0	0.2704569101333618	799.0	905.5
86	1.0	0.26159921288490295	796.0	923.0
87	3.0	0.26293298602104187	785.6666666666666	933.6666666666666
88	1.0	0.2403528094291687	783.0	936.0
89	10.0	0.32271111011505127	778.5	990.1
90	1.0	0.3572811782360077	776.0	993.0
